node1,node2
5,0
48,0
56,0
72,0
26,1
31,1
39,1
28,2
30,2
19,3
22,3
30,3
33,3
5,4
17,4
40,4
34,5
39,5
7,6
10,6
36,6
38,6
9,7
38,7
41,7
42,8
47,8
10,9
44,9
46,9
46,10
49,10
50,11
55,11
13,12
52,12
54,12
25,13
54,13
57,13
58,14
63,14
16,15
60,15
62,15
25,16
62,16
65,16
31,17
39,17
66,17
71,17
28,18
68,18
70,18
30,19
70,19
73,19
31,20
39,20
74,20
79,20
28,21
76,21
78,21
30,22
78,22
81,22
82,23
87,23
25,24
84,24
86,24
86,25
89,25
27,26
29,27
29,28
32,31
47,31
55,31
71,31
87,31
41,33
49,33
57,33
65,33
81,33
89,33
35,34
37,35
37,36
40,39
47,39
55,39
71,39
87,39
73,41
89,41
43,42
45,43
45,44
48,47
63,47
79,47
73,49
89,49
51,50
53,51
53,52
56,55
59,58
61,59
61,60
64,63
67,66
69,67
69,68
72,71
75,74
77,75
77,76
80,79
83,82
85,83
85,84
88,87
